,Unnamed: 0,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,full_kappa,learn_prediction,learn_ll,learn_alpha,learn_kappa,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,plan_kappa,learn_rho,plan_alpha
1523,1523,23,23,7,353,2,5,2,0,False,1,1,23,True,train,0.7326624318441415,0.2873685289273153,2.1849672837091636,0.44617148696699155,1.738795796742172,-1.319243118927185,5.0,0.8,0.9,0.15599104858582502,-0.1695921785014569,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555703,1.9187801093493673,-0.5532892540116109,0.75,0.9,0.75,30.0
1524,1524,24,24,20,373,2,2,2,0,True,0,0,23,True,train,0.741899529788106,0.29729044128194104,2.175776985222904,0.4422626147111439,1.73351437051176,-0.2985414495810267,5.0,0.8,0.9,0.1580604245315133,-1.8447778853205603,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555703,1.9187801093493673,-0.8557959856638674,0.75,0.9,0.75,30.0
1525,1525,25,25,17,390,1,0,2,2,False,0,0,23,True,train,0.4582775363489329,0.30701213554880435,2.4711038690928664,0.39166232741303064,2.0794415416798357,-0.6130014683742011,5.0,0.8,0.9,0.1280745773212451,-0.1370513831815509,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.5104666478015323,0.75,0.9,0.75,30.0
1526,1526,26,26,14,404,2,2,2,0,True,0,0,23,True,test,0.8131536763470311,0.30416930546896903,2.2811074104726314,0.5902098052739413,1.69089760519869,-0.20683516349998726,5.0,0.8,0.9,0.15991409483501604,-1.8331185152157863,30.0,0.9,0.5404593652968038,2.386844117468904,0.5381932169235902,1.8486509005453138,-0.6153358245684207,0.75,0.9,0.75,30.0
1527,1527,27,27,6,410,3,2,2,1,False,0,0,23,True,train,0.533456927486213,0.31492835290354027,2.3254153029538807,0.36395748322385385,1.9614578197300268,-0.7624049317377384,5.0,0.8,0.9,0.14383569862832654,-0.15529298040392536,30.0,0.9,0.35657002702702695,2.2015731634545856,0.21458478927129893,1.9869883741832866,-0.4409420799763329,0.75,0.9,0.75,30.0
1528,1528,28,28,18,428,1,2,2,2,False,0,0,23,True,train,0.4127051418166181,0.31258085832874233,2.3251936830703106,0.3072348552122556,2.017958827858055,-0.5322282715007032,5.0,0.8,0.9,0.12965168198439422,-0.13886178192322407,30.0,0.9,0.37694540000000004,2.3411766725560987,0.24199752227363885,2.0991791502824597,-0.47312112358544567,0.75,0.9,0.75,30.0
1529,1529,29,29,13,441,5,5,2,3,True,0,0,23,True,train,0.3695540537368557,0.31171707279776,2.3361736244236213,0.4495424953045176,1.8866311291191036,-0.9954582604247026,5.0,0.8,0.9,0.10726179398536566,-2.2324827599904467,30.0,0.9,0.47574140963855427,2.3317015636585228,0.4098632834413797,1.921838280217143,-0.7428808294301608,0.75,0.9,0.75,30.0
1530,1530,30,30,11,452,3,2,2,1,False,0,0,23,True,train,0.5979191401769574,0.30989563676360227,2.2751203219907326,0.45925519236100054,1.815865129629732,-0.911102066751411,5.0,0.8,0.9,0.14439928475624367,-0.15595146581846642,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555703,1.9187801093493673,-0.5532892540116109,0.75,0.9,0.75,30.0
1531,1531,31,31,11,463,2,6,2,0,False,0,0,23,True,train,0.793219353628604,0.3080851002651732,2.3688476249439794,0.5341291500729746,1.8347184748710048,-1.5760967269391437,5.0,0.8,0.9,0.16272573755469721,-0.1776035889933864,30.0,0.9,0.49605280753138065,2.383159606810939,0.4508369793506528,1.932322627460286,-0.6852837932482232,0.75,0.9,0.75,30.0
1532,1532,32,32,16,479,3,0,2,1,False,0,0,23,True,train,0.521001616217901,0.317303521441932,2.3975755630199407,0.3181340213401044,2.079441541679836,-0.7360580557270207,5.0,0.8,0.9,0.1467706847832346,-0.15872693383694095,30.0,0.9,0.35709975675675665,2.294026330951135,0.21458478927129893,2.079441541679836,-0.4417657094814126,0.75,0.9,0.75,30.0
1533,1533,33,33,18,497,2,2,2,0,True,0,0,23,True,train,0.7587784179148768,0.3165866667702581,2.1577020189857268,0.4338531663610762,1.7238488526246507,-0.27604548371523163,5.0,0.8,0.9,0.16563638578901566,-1.7979603402179278,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555703,1.9187801093493673,-0.8557959856638674,0.75,0.9,0.75,30.0
1534,1534,34,34,12,509,2,2,2,0,True,0,0,23,True,train,0.7293871355587791,0.32464401618550925,2.450286180532553,0.370844638852717,2.079441541679836,-0.3155506377814912,5.0,0.8,0.9,0.16763716962319805,-1.7859533397280327,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.9168294375560695,0.75,0.9,0.75,30.0
