,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,learn_rho,plan_alpha
2569,69,69,6,1058,2,5,4,3,False,0,0,5,train,0.1629213096777918,0.6231899381920691,2.5115178706058496,0.19119193199350615,2.3203259386123434,-0.17783719818989518,0.1,0.8831578947368421,0.02259534498678996,-0.022854531508344735,0.15,0.5857524368932039,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.8812915053559032,0.9136842105263158,0.95,1.0
2570,70,70,17,1075,6,6,4,2,True,0,0,5,train,0.4548058004938637,0.621884620442883,2.143450740738291,0.4307402816562742,1.7127104590820166,-0.7878847632427955,0.1,0.8831578947368421,0.11268771154108585,-2.183134900783883,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2571,71,71,19,1094,1,7,4,3,False,0,0,5,train,0.4191178326916863,0.6185814709543451,2.19439869231197,0.4103100934217341,1.7840885988902362,-0.5432073528395794,0.1,0.8831578947368421,0.07419519381578613,-0.07709185901346272,0.15,0.5857524368932039,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.8812915053559032,0.9136842105263158,0.95,1.0
2572,72,72,24,1118,4,4,4,0,True,0,0,5,train,0.9184893505493539,0.6154325338880319,1.0740985436391086,0.2582820563701987,0.81581648726891,-0.08502496878790779,0.1,0.8831578947368421,0.6154092475542593,-0.4854677893070995,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2573,73,73,11,1129,3,0,4,3,False,0,0,5,train,0.09475146157065971,0.6194686174771341,2.583607777719136,0.11577896818024677,2.467828809538889,-0.09954574488688592,0.1,0.8831578947368421,0.0068194698155214515,-0.006842828656984281,0.15,0.5857524368932038,2.0794415416798357,0.632639451473544,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2574,74,74,16,1145,4,4,4,0,True,0,0,5,train,0.9195291807580961,0.6187452741865197,1.0698240939097265,0.25600685580246074,0.8138172381072658,-0.08389349997846442,0.1,0.8831578947368421,0.619101084904223,-0.47948671606917415,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2575,75,75,22,1167,6,7,4,2,False,0,0,5,train,0.45972312481752825,0.6226437352331702,2.1360419884290613,0.43341164697948853,1.7026303414495727,-0.6156735390064699,0.1,0.8831578947368421,0.11652468581495451,-0.12389192854647565,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2576,76,76,14,1181,4,4,4,0,True,0,0,5,train,0.9197613101430012,0.6195149034659122,1.068913285040211,0.2555209478610226,0.8133923371791885,-0.08364108809759414,0.1,0.8831578947368421,0.6184357998426994,-0.48056189230644486,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2577,77,77,12,1193,4,4,4,0,True,0,0,5,train,0.920937092702113,0.6233066129899898,1.0640699944914176,0.25293060897663566,0.8111393855147819,-0.0823635483146385,0.1,0.8831578947368421,0.6227835321033786,-0.4735562810812934,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2578,78,78,10,1203,4,4,4,0,True,0,0,5,train,0.92207660373842,0.6270159797129689,1.0593546978934987,0.2503982670804727,0.8089564308130259,-0.08112697456186456,0.1,0.8831578947368421,0.6270278633610333,-0.46676430016430515,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
