,goal,t,i,n_samples,accuracy,surprise,cost,error
137,0,5,37,1988,0.6200070972435084,2.4024409890055507,1.0580032026159776,1.344437786389573
138,0,5,38,1428,0.5663827514009943,2.4023194945652087,0.8442642524835292,1.5580552420816796
139,0,5,39,1544,0.6004297934472683,2.375423173692733,0.9472488598302394,1.4281743138624938
140,0,5,40,1791,0.6248107456549387,2.406322738022128,1.0779522695357286,1.3283704684863995
141,0,5,41,1445,0.6480915065024919,2.4133859102605415,1.1856096172012582,1.2277762930592835
142,0,5,42,1703,0.6266100036649561,2.3845059095268004,1.0571893969229746,1.3273165126038255
143,0,5,43,1906,0.6068595405323193,2.406284449762032,1.0304749588402564,1.3758094909217755
144,0,5,44,1179,0.5992462468470124,2.4282255838071256,1.0095968356383755,1.4186287481687498
145,0,5,45,1459,0.5600086049480879,2.404309469116382,0.9171784473222311,1.4871310217941511
146,0,5,46,1537,0.6395961894586647,2.432226652275948,1.1180971883878277,1.3141294638881202
147,0,5,47,1333,0.5934980276452382,2.404661486008224,0.962564685429826,1.4420968005783978
148,0,5,48,1301,0.6320087408156894,2.391129949779896,1.0249438249524847,1.366186124827411
149,0,5,49,1263,0.6565710876113436,2.390800171298863,1.1409609187511192,1.249839252547744
150,0,5,50,1158,0.599221452335401,2.407599012630365,1.010736455191423,1.396862557438942
151,0,5,51,1677,0.6129804538512656,2.40603415753864,1.1119844301712165,1.2940497273674236
152,0,5,52,1507,0.5473003164321926,2.392736265798306,0.8381509243187127,1.554585341479593
153,0,5,53,1457,0.5323492593350051,2.4073294221158146,0.7950175429296734,1.612311879186141
154,0,5,54,1192,0.638010379718631,2.3791645837216295,1.0364622762118827,1.342702307509747
155,0,5,55,1179,0.6291547196784355,2.4037179949214638,1.0612312437050806,1.342486751216383
156,0,5,56,1240,0.6305298309536472,2.395373379692,1.0448987417584317,1.350474637933568
157,0,5,57,1432,0.532997797110266,2.414494291364506,0.7831427941074087,1.6313514972570975
158,0,5,58,1711,0.6277436828065143,2.4224124763690607,1.02656238295546,1.3958500934136007
159,0,5,59,1405,0.6207575441442833,2.4215210408501635,1.1014320829679327,1.3200889578822306
160,0,5,60,1248,0.6320564956431634,2.400437253811403,1.1067118659275934,1.2937253878838095
161,0,5,61,1372,0.5948981153054498,2.402293980281494,0.9122020689185861,1.4900919113629079
162,0,5,62,1810,0.594243060065419,2.4093056063461367,1.042361701451443,1.3669439048946936
163,0,5,63,1711,0.557052516034389,2.413692948281335,0.8538268713979872,1.5598660768833477
164,0,5,64,1487,0.6109695228604856,2.4180529377237083,1.1004831458290059,1.3175697918947025
165,0,5,65,1634,0.6552368566242689,2.4109650025677105,1.0971247606894012,1.3138402418783093
166,0,5,66,1578,0.6138229935823761,2.372511777462118,0.9824947110181614,1.3900170664439564
167,0,5,67,2277,0.5649036080101393,2.41477264056237,0.8700791246022112,1.5446935159601587
168,0,5,68,1358,0.589038061457034,2.428400207838912,0.9888227143805353,1.4395774934583772
169,0,5,69,2377,0.5982779427075781,2.401315109200601,0.9732900401249401,1.4280250690756606
170,0,5,70,1424,0.5688508460788473,2.3948753289961826,0.9357069206161475,1.4591684083800351
171,0,5,71,1791,0.6329379569999115,2.391067029886646,1.078792622517268,1.3122744073693782
172,0,5,72,1953,0.6011357288507297,2.3911728333495565,1.0099423507993057,1.3812304825502508
173,0,5,73,1643,0.5945973949515989,2.4001642372444696,0.9497255417481362,1.4504386954963335
174,0,5,74,1347,0.5911208231285435,2.407420323253822,0.9415055213836707,1.465914801870151
175,0,5,75,1718,0.6627421399785511,2.406894932675003,1.125372509088132,1.281522423586871
176,0,5,76,2313,0.5982187654810341,2.390511302627718,0.9849018994379422,1.405609403189776
177,0,5,77,1161,0.5800094361078463,2.4067557217092204,0.9233861998252977,1.4833695218839227
178,0,5,78,1467,0.5900674032079825,2.3850628064756907,0.9665086545729565,1.418554151902734
179,0,5,79,2172,0.6338994685304619,2.3934175347073463,1.0917095670046753,1.3017079677026713
180,0,5,80,2448,0.6306325437458118,2.4069562204054202,1.0543100552063478,1.3526461651990724
181,0,5,81,1206,0.6005631776205583,2.4145897271156604,0.9248215631358898,1.4897681639797706
182,0,5,82,1661,0.5613739549023463,2.403878877489918,0.8848971664328606,1.5189817110570571
183,0,5,83,1862,0.6577854664582452,2.3926747422973293,1.1395502088408223,1.253124533456507
184,0,5,84,2273,0.6151037383462294,2.3898550672136354,1.023096484877097,1.3667585823365387
185,0,5,85,1953,0.5943660716024828,2.406389565427271,0.9361210534322951,1.470268511994976
186,0,5,86,1741,0.5926294211406843,2.3942216339706683,0.9096777972365958,1.4845438367340724
187,0,5,87,1936,0.6437772981761515,2.415519182116937,1.18573072421238,1.2297884579045568
188,0,5,88,1710,0.5267455829209525,2.416639662403741,0.8334948759535402,1.5831447864502008
189,0,5,89,1822,0.5765793369284807,2.426467609749385,0.8941206788042837,1.5323469309451012
190,0,5,90,1560,0.5449301610208428,2.4410061786803934,0.8490920113319134,1.59191416734848
191,0,5,91,1386,0.6347523471713197,2.4157149638059106,1.1107403951094281,1.3049745686964824
192,0,5,92,1708,0.651927579570611,2.4013200618979926,1.1371439595172725,1.2641761023807203
193,0,5,93,1602,0.56101848866152,2.388383305665986,0.856530932451953,1.5318523732140328
194,0,5,94,1303,0.6086646827776663,2.391417841137469,0.9943788048618546,1.3970390362756147
195,0,5,95,1545,0.5777405193555719,2.3933714800588417,0.9426443315702164,1.4507271484886253
196,0,5,96,1425,0.6358702500245367,2.398500890356493,1.0562041961701731,1.3422966941863197
197,0,5,97,1428,0.5833237757427483,2.3835452905239753,0.9439677970655984,1.439577493458377
198,0,5,98,1361,0.5967805015837326,2.381404923607617,0.9536519940657114,1.4277529295419056
199,0,5,99,1544,0.6363162089999024,2.4351719666313305,1.126173127897226,1.3089988387341045
200,0,50,0,2206,0.38519585253809724,2.7440138289622746,0.6790083144187447,2.0650055145435298
201,0,50,1,1809,0.4478263671861501,2.748538019601737,0.8708335024701866,1.8777045171315505
202,0,50,2,2380,0.46806958948449295,2.778821653302489,0.966475657271456,1.812345996031033
203,0,50,3,2984,0.46914407173495914,2.761798823144252,0.9649690941011158,1.7968297290431363
204,0,50,4,2984,0.4220280097953885,2.7517171382439223,0.8627881232846086,1.8889290149593139
205,0,50,5,2020,0.3958196181737333,2.761096109765848,0.7493756639362594,2.0117204458295888
206,0,50,6,2381,0.41970327076887537,2.75433195773844,0.8613102997360833,1.893021658002357
207,0,50,7,1521,0.4125127519665607,2.7733729692468017,0.8198268753074738,1.9535460939393279
208,0,50,8,1715,0.4297382724847401,2.788112959587656,0.8519996005710433,1.9361133590166126
209,0,50,9,3789,0.38501433164130394,2.7599388011956827,0.7063332800261426,2.05360552116954
210,0,50,10,1994,0.41543374565859337,2.7562415129231894,0.8763541311381048,1.8798873817850845
211,0,50,11,1867,0.379340983709931,2.7842266304817227,0.7393216157974591,2.0449050146842636
212,0,50,12,1976,0.3573760149263063,2.760660771389959,0.6600143524642736,2.1006464189256855
213,0,50,13,3415,0.43830095585731255,2.7453596214332863,0.840251474488645,1.9051081469446411
214,0,50,14,1827,0.3590539441624674,2.792228746307924,0.7126057257360111,2.079623020571913
215,0,50,15,2244,0.4185671964674463,2.7459890401619376,0.8104908569861462,1.9354981831757911
216,0,50,16,1907,0.39914452397669925,2.7888795452276307,0.8000287768635439,1.9888507683640866
217,0,50,17,2409,0.4160708902225208,2.7552799760581057,0.7773305055393697,1.9779494705187362
218,0,50,18,2193,0.36899481567262155,2.7589412543025,0.6609591104722331,2.097982143830267
219,0,50,19,2656,0.4038494059982544,2.741606909657135,0.7671817037637287,1.9744252058934062
220,0,50,20,2881,0.35215668203047784,2.7835836388885533,0.7037372820660819,2.0798463568224714
221,0,50,21,2059,0.37845622120268874,2.7748634801360303,0.6877532503929328,2.0871102297430975
222,0,50,22,2004,0.4099471732078998,2.7514654842162054,0.8728069431853915,1.8786585410308136
223,0,50,23,1784,0.4622173713895875,2.751532944443812,0.9405213282532642,1.811011616190548
224,0,50,24,2734,0.3851011318310438,2.7460900693582597,0.6835133152792606,2.062576754078999
225,0,50,25,2633,0.3740833500331281,2.757749100765963,0.7291516470187727,2.0285974537471905
226,0,50,26,3280,0.39202422468790354,2.7630239618621837,0.7089671666185668,2.054056795243617
227,0,50,27,1966,0.42706811285133817,2.7517771304433536,0.8050384757283283,1.9467386547150252
228,0,50,28,2657,0.37290532048917935,2.7888782586896843,0.7358642457049674,2.053014012984717
229,0,50,29,2143,0.4485009799288475,2.7619283891552695,0.9090449698344958,1.8528834193207737
230,0,50,30,2364,0.4387121417519757,2.770442211397735,0.86710716851755,1.9033350428801847
231,0,50,31,2953,0.3779518689227532,2.7712172252602247,0.7045099960709862,2.0667072291892388
232,0,50,32,1628,0.40499506254535395,2.7971435361091164,0.8367084971437373,1.9604350389653793
233,0,50,33,1762,0.3677058464314425,2.797097131872413,0.710395895104508,2.086701236767905
234,0,50,34,2021,0.404238234886967,2.7446087461553024,0.8106218875728206,1.933986858582482
235,0,50,35,1972,0.3606928517884852,2.7780466473679875,0.6333639525379431,2.144682694830044
236,0,50,36,2451,0.45430812159458467,2.757568727417962,0.8911963280994705,1.8663723993184913
237,0,50,37,2019,0.40858204454251024,2.747393303744209,0.8311022032650779,1.916291100479131
238,0,50,38,1709,0.39891331424067195,2.7624052981594787,0.7186967676532776,2.0437085305062013
239,0,50,39,2501,0.3960373463938514,2.77511876865782,0.7904966194588549,1.9846221491989653
240,0,50,40,1986,0.41382204017049046,2.7675457987194987,0.7824700997397425,1.9850756989797564
241,0,50,41,3611,0.33758257123102,2.7471555871160604,0.5742196865680005,2.17293590054806
242,0,50,42,1695,0.4066265802546495,2.778690257871536,0.8753552149913512,1.9033350428801847
243,0,50,43,2481,0.384131521129196,2.781977015422771,0.6922176564086903,2.0897593590140806
244,0,50,44,1871,0.3795354626874682,2.817150663887115,0.9304231183690258,1.886727545518089
245,0,50,45,2315,0.4422053619205495,2.7898870683049535,0.9477288649276095,1.8421582033773438
246,0,50,46,1913,0.44107080918074976,2.768398684463202,0.8723473055353901,1.8960513789278122
247,0,50,47,2189,0.3785901108519971,2.7919006711913386,0.6963051756685533,2.0955954955227853
248,0,50,48,1742,0.41779764015175525,2.751037970973142,0.7878522335913518,1.96318573738179
249,0,50,49,2250,0.4078215788457579,2.7664196174878093,0.8211635342204407,1.9452560832673687
250,0,50,50,2078,0.4573666886149684,2.853933181486564,0.976194607320835,1.877738574165729
251,0,50,51,3198,0.4577091162642784,2.7423510511050715,0.9188840061945813,1.8234670449104902
252,0,50,52,2394,0.3927064042412124,2.762009059849367,0.7840595893306309,1.9779494705187362
253,0,50,53,1907,0.488187774142286,2.778443024430053,1.0287558876872223,1.7496871367428306
254,0,50,54,2898,0.4495849082682376,2.743302137605615,0.9192719466805596,1.8240301909250551
255,0,50,55,3043,0.3592245965545153,2.7663706312233516,0.6683181984454434,2.098052432777908
256,0,50,56,2223,0.38853966265834694,2.815702253501761,0.7874134804871841,2.0282887730145767
257,0,50,57,2854,0.39299703752721227,2.7557552035654194,0.717921411852565,2.0378337917128544
258,0,50,58,1963,0.40485069657583495,2.795833082558541,0.8659728899595501,1.9298601925989907
259,0,50,59,2064,0.38090437788420145,2.780594873413518,0.7109859200734341,2.069608953340084
260,0,50,60,2087,0.4481206797271847,2.7595980383615344,0.9436677056773131,1.8159303326842213
261,0,50,61,2323,0.38697721937556356,2.7522610366496174,0.7169441097118876,2.0353169269377296
262,0,50,62,3003,0.5001673953317072,2.7808317401728164,1.0457940220754713,1.7350377180973453
263,0,50,63,2161,0.42875795479818785,2.760441492309427,0.7928546374613796,1.9675868548480477
264,0,50,64,3210,0.4550150559841858,2.7505649267676793,0.9066526183932915,1.8439123083743876
265,0,50,65,2605,0.37004187446401576,2.750443620887303,0.6625974872977343,2.0878461335895686
266,0,50,66,3109,0.4356418165629817,2.767053039041766,0.934163456194,1.832889582847766
267,0,50,67,1911,0.42233227602350304,2.7677559574267008,0.8679309447553878,1.8998250126713132
268,0,50,68,2947,0.45204673852560445,2.7387312224185445,0.8979113789043822,1.8408198435141623
269,0,50,69,2020,0.41362665088055567,2.7519171586025815,0.8762313559614885,1.8756858026410927
270,0,50,70,3628,0.40691244239870994,2.7843213576945347,0.784251798514003,2.000069559180532
271,0,50,71,2707,0.45548583194731695,2.758331849964153,0.9165768099380599,1.841755040026093
272,0,50,72,2197,0.38825457963989785,2.773674776755443,0.7759782367012372,1.9976965400542055
273,0,50,73,2431,0.4878776872296525,2.7540553052059584,1.0195289159312007,1.734526389274758
274,0,50,74,2133,0.46688428059788595,2.7509479393638743,0.916656060067887,1.8342918792959872
275,0,50,75,2689,0.39930974466789465,2.7629880055203313,0.8070196316072275,1.955968373913104
276,0,50,76,2069,0.4888589233387469,2.7884152572285634,1.1035909432113664,1.6848243140171972
277,0,50,77,2459,0.37004187446401576,2.7815233474291228,0.7609018480670989,2.020621499362024
278,0,50,78,2213,0.41510197078520994,2.796286800941126,0.9014074893589468,1.8948793115821791
279,0,50,79,1875,0.354280562159127,2.750117691186092,0.6083529861600229,2.141764705026069
280,0,50,80,2459,0.4180242746836595,2.7913635808416175,0.8056005332728171,1.9857630475688004
281,0,50,81,3517,0.40597133281694625,2.7494399781126644,0.7345113448793186,2.014928633233346
282,0,50,82,1828,0.4729646697431482,2.7632805597753753,0.9692000440251466,1.7940805157502289
283,0,50,83,1827,0.3701686156509794,2.8008727924490424,0.7008138149271367,2.100058977521906
284,0,50,84,1882,0.39912115031486045,2.7503858620907944,0.7318546179432173,2.018531244147577
285,0,50,85,2104,0.40905619064983123,2.749124378243411,0.7605576068412159,1.9885667714021948
286,0,50,86,1791,0.481946161631826,2.7736088820502354,0.9884552932650758,1.7851535887851595
287,0,50,87,2152,0.44757458161904984,2.7604976886761428,0.8667657693375841,1.8937319193385584
288,0,50,88,2759,0.3611583838490434,2.7675804017986554,0.7072999108370067,2.060280490961649
289,0,50,89,3119,0.3784238595790991,2.7748543104652685,0.7302668926363604,2.0445874178289083
290,0,50,90,1536,0.4252448156726216,2.745987729575181,0.776824791083446,1.9691629384917348
291,0,50,91,3657,0.34506066616335274,2.758480856544535,0.6002654796773208,2.158215376867214
292,0,50,92,2876,0.4192496701560974,2.764537903180253,0.8019981252199799,1.9625397779602731
293,0,50,93,1942,0.3647249778700466,2.7693403951632223,0.6867029935732201,2.082637401590002
294,0,50,94,2753,0.38378952805008393,2.752300635987357,0.7131040522033185,2.0391965837840385
295,0,50,95,1798,0.4201059144067374,2.7952904673289414,0.8555265519350302,1.9397639153939112
296,0,50,96,3320,0.32120123915591786,2.7751043028076183,0.512014401170482,2.2630899016371364
297,0,50,97,2538,0.39224304188378617,2.7348994983713157,0.7484931248494805,1.9864063735218354
298,0,50,98,2145,0.43178510793483926,2.7902880339193623,0.9120531618395744,1.878234872079788
