,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path
151,51,51,15,807,4,4,4,0,True,0,0,10,True
152,52,52,20,827,6,6,4,2,True,0,0,10,True
153,53,53,9,836,4,4,4,0,True,0,0,10,True
154,54,54,16,852,4,4,4,0,True,0,0,10,True
155,55,55,16,868,5,5,4,1,True,0,0,10,True
156,56,56,18,886,6,6,4,2,True,0,0,10,True
157,57,57,13,899,4,4,4,0,True,0,0,10,True
158,58,58,7,906,3,7,4,3,False,0,0,10,True
159,59,59,22,928,5,5,4,1,True,0,0,10,True
160,60,60,7,935,4,3,4,0,False,1,3,10,True
161,61,61,17,952,4,4,4,0,True,0,0,10,True
162,62,62,17,969,4,4,4,0,True,0,0,10,True
163,63,63,20,989,6,7,4,2,False,0,0,10,True
164,64,64,16,1005,5,5,4,1,True,0,0,10,True
165,65,65,13,1018,4,4,4,0,True,0,0,10,True
166,66,66,19,1037,6,6,4,2,True,0,0,10,True
167,67,67,19,1056,4,4,4,0,True,0,0,10,True
168,68,68,12,1068,4,4,4,0,True,0,0,10,True
169,69,69,11,1079,4,4,4,0,True,0,0,10,True
170,70,70,26,1105,6,6,4,2,True,0,0,10,True
171,71,71,18,1123,4,4,4,0,True,0,0,10,True
172,72,72,15,1138,3,1,4,3,False,0,0,10,True
173,73,73,15,1153,6,6,4,2,True,0,0,10,True
174,74,74,10,1163,4,4,4,0,True,0,0,10,True
175,75,75,21,1184,4,4,4,0,True,0,0,10,True
176,76,76,10,1194,4,4,4,0,True,0,0,10,True
177,77,77,15,1209,6,6,4,2,True,0,0,10,True
178,78,78,16,1225,1,1,4,3,True,0,0,10,True
179,79,79,22,1247,6,6,4,2,True,0,0,10,True
180,80,80,5,1252,4,3,4,0,False,1,4,10,True
181,81,81,20,1272,5,5,4,1,True,0,0,10,True
182,82,82,21,1293,4,1,4,0,False,0,0,10,True
183,83,83,12,1305,4,4,4,0,True,0,0,10,False
184,84,84,20,1325,4,4,4,0,True,0,0,10,True
185,85,85,16,1341,4,4,4,0,True,0,0,10,True
186,86,86,15,1356,4,4,4,0,True,0,0,10,True
187,87,87,11,1367,6,7,4,2,False,0,0,10,True
188,88,88,15,1382,5,5,4,1,True,0,0,10,True
189,89,89,17,1399,5,5,4,1,True,0,0,10,True
190,90,90,13,1412,2,0,4,3,False,0,0,10,True
191,91,91,21,1433,4,1,4,0,False,0,0,10,True
192,92,92,8,1441,4,4,4,0,True,0,0,10,True
193,93,93,13,1454,5,5,4,1,True,0,0,10,True
194,94,94,23,1477,5,5,4,1,True,0,0,10,True
195,95,95,21,1498,4,4,4,0,True,0,0,10,True
196,96,96,17,1515,4,4,4,0,True,0,0,10,True
197,97,97,13,1528,4,4,4,0,True,0,0,10,True
198,98,98,14,1542,5,5,4,1,True,0,0,10,True
199,99,99,17,1559,4,4,4,0,True,0,0,10,True
200,0,0,11,11,1,0,2,2,False,0,0,11,True
201,1,1,10,21,3,0,2,1,False,0,0,11,True
202,2,2,17,38,0,0,2,2,True,0,0,11,True
203,3,3,12,50,2,2,2,0,True,0,0,11,True
204,4,4,6,56,1,2,2,2,False,0,0,11,False
205,5,5,12,68,2,2,2,0,True,0,0,11,True
206,6,6,14,82,2,2,2,0,True,0,0,11,True
207,7,7,21,103,2,0,2,0,False,0,0,11,True
208,8,8,11,114,2,0,2,0,False,0,0,11,False
209,9,9,14,128,3,0,2,1,False,0,0,11,True
210,10,10,15,143,6,6,2,3,True,0,0,11,True
211,11,11,19,162,3,0,2,1,False,0,0,11,True
212,12,12,17,179,7,7,2,3,True,0,0,11,False
213,13,13,8,187,7,6,2,3,False,0,0,11,True
214,14,14,19,206,2,2,2,0,True,0,0,11,True
215,15,15,15,221,2,2,2,0,True,0,0,11,True
216,16,16,19,240,0,0,2,2,True,0,0,11,True
217,17,17,12,252,2,2,2,0,True,0,0,11,True
218,18,18,20,272,3,0,2,1,False,0,0,11,True
219,19,19,7,279,2,3,2,0,False,0,0,11,True
220,20,20,14,293,3,3,2,1,True,0,0,11,True
221,21,21,18,311,3,2,2,1,False,0,0,11,True
222,22,22,11,322,2,7,2,0,False,1,1,11,True
223,23,23,17,339,1,0,2,2,False,0,0,11,True
