"id","period","coef","type"
14,50,-0.526683202124935,"model"
15,50,-0.162486762718993,"data"
15,50,-0.213591524335819,"model"
16,50,-1.2110578607552,"data"
16,50,-1.03873399586462,"model"
17,50,-1.3627352288471,"data"
17,50,-1.47200546547589,"model"
18,50,0.99416469538869,"data"
18,50,-0.186738716061616,"model"
19,50,0.349884840777256,"data"
19,50,-0.167121963022134,"model"
2,50,-0.405151407514332,"data"
2,50,-0.250543745579846,"model"
20,50,-0.626090677689761,"data"
20,50,-0.536297163268739,"model"
21,50,-0.439498105023195,"data"
21,50,-0.235958139276402,"model"
22,50,0.34931033147775,"data"
22,50,-0.236705861719446,"model"
23,50,-1.57849627677634,"data"
23,50,-0.81231097739426,"model"
24,50,-0.405056218618641,"data"
24,50,-0.27217617052428,"model"
25,50,-0.771485325626719,"data"
25,50,-1.22629069967437,"model"
26,50,-0.29212009140651,"data"
26,50,-0.173185589790191,"model"
27,50,-0.641754782654915,"data"
27,50,-0.69137018650126,"model"
28,50,-1.29028047898579,"data"
28,50,-1.09604266870807,"model"
29,50,-1.02105578202392,"data"
29,50,-0.909130099454381,"model"
3,50,-0.735424245786129,"data"
3,50,-0.406136392039573,"model"
30,50,-2.12888150781047,"data"
30,50,-1.22727049476816,"model"
4,50,0.721593149108926,"data"
4,50,-0.256725107985333,"model"
5,50,-2.1302727566014,"data"
5,50,-1.08178647946318,"model"
7,50,-20.8100862331445,"data"
7,50,-0.951224424622146,"model"
8,50,0.338367385739011,"data"
8,50,-0.135959165195144,"model"
9,50,-0.364996249373311,"data"
9,50,-0.772220819774928,"model"
1,75,-20.5571180001267,"data"
1,75,-1.03671710782649,"model"
10,75,-0.348475658137702,"data"
10,75,-1.08211111267196,"model"
11,75,-0.727488773025545,"data"
11,75,-0.393840990892291,"model"
12,75,-1.05550307881353,"data"
12,75,-1.18559052896173,"model"
13,75,0.360390923501697,"data"
13,75,-0.134409900573944,"model"
14,75,-0.596083869521107,"data"
14,75,-0.585287300205147,"model"
15,75,-0.241454642231909,"data"
15,75,-0.279769518831211,"model"
16,75,-2.71628120076857,"data"
16,75,-1.0563559732009,"model"
17,75,-1.74692766534097,"data"
17,75,-1.40741776575268,"model"
18,75,-0.305886561376838,"data"
18,75,-0.239091721238842,"model"
19,75,-0.249940837270492,"data"
19,75,-0.219951208317921,"model"
2,75,0.0477973742704385,"data"
2,75,-0.289000152140236,"model"
20,75,-1.43222716475402,"data"
20,75,-0.571008861112266,"model"
21,75,7.75791868816831e-17,"data"
21,75,-0.286805610285904,"model"
22,75,1.54156140855388,"data"
22,75,-0.28368573303023,"model"
23,75,-0.747367539608606,"data"
23,75,-0.907515990389631,"model"
24,75,0.400888803053258,"data"
24,75,-0.324443846265365,"model"
25,75,-0.792513813111903,"data"
25,75,-1.18619659802939,"model"
26,75,-0.955201784871392,"data"
26,75,-0.207551176693818,"model"
27,75,-0.678149734724741,"data"
27,75,-0.797183939636359,"model"
28,75,-0.614318224003196,"data"
28,75,-1.0654722987209,"model"
29,75,-0.717526712935704,"data"
29,75,-1.02426641107649,"model"
3,75,-0.42208997450154,"data"
3,75,-0.501192342523223,"model"
30,75,-1.95334236298691,"data"
30,75,-1.71317288216666,"model"
4,75,-0.253467945062449,"data"
4,75,-0.31860959136901,"model"
5,75,-3.15030580844049,"data"
5,75,-1.17229849071232,"model"
7,75,-1.8384832866442e-30,"data"
7,75,-0.987099569829083,"model"
8,75,0.291982172457433,"data"
8,75,-0.189390983800261,"model"
9,75,-0.828105974202639,"data"
9,75,-0.894655763720902,"model"
