,id,rho,alpha,ll,model_type
931,28,0.99,0.14,-0.3639320092332105,full
932,28,0.99,1.0,-0.37559395780137944,full
933,28,0.99,7.39,-0.41867916820173534,full
934,28,0.99,54.6,-0.46271894584572876,full
935,28,0.95,0.02,-1.2757156649151873,learn_only
936,28,0.95,0.14,-1.2073231205346526,learn_only
937,28,0.95,1.0,-1.1771188822234986,learn_only
938,28,0.95,7.39,-1.3101025382742097,learn_only
939,28,0.95,54.6,-1.5765224528380961,learn_only
940,28,0.7,1.0,-1.2127789058805702,plan_only
941,28,0.7725,1.0,-1.011775925335011,plan_only
942,28,0.845,1.0,-0.80063586225371,plan_only
943,28,0.9175,1.0,-0.582525260639224,plan_only
944,28,0.99,1.0,-0.4843438513129595,plan_only
945,29,0.7,0.02,-0.7632555195339786,full
946,29,0.7,0.14,-0.7697830083036707,full
947,29,0.7,1.0,-0.8238175455510209,full
948,29,0.7,7.39,-0.9464058425424386,full
949,29,0.7,54.6,-1.0446956984365068,full
950,29,0.7725,0.02,-0.6712207449551009,full
951,29,0.7725,0.14,-0.65655394047197,full
952,29,0.7725,1.0,-0.6674284044090288,full
953,29,0.7725,7.39,-0.7611497455835134,full
954,29,0.7725,54.6,-0.8751233778867048,full
955,29,0.845,0.02,-0.6204642641151328,full
956,29,0.845,0.14,-0.5961775772363728,full
957,29,0.845,1.0,-0.5744971449092287,full
958,29,0.845,7.39,-0.6134849823867201,full
959,29,0.845,54.6,-0.7117401073652536,full
960,29,0.9175,0.02,-0.5883689566936543,full
961,29,0.9175,0.14,-0.5676989892952492,full
962,29,0.9175,1.0,-0.5373187808762601,full
963,29,0.9175,7.39,-0.5342200425753754,full
964,29,0.9175,54.6,-0.5847999203121488,full
965,29,0.99,0.02,-0.7015390209404867,full
966,29,0.99,0.14,-0.6928204517521663,full
967,29,0.99,1.0,-0.7064272148568348,full
968,29,0.99,7.39,-0.742019659478054,full
969,29,0.99,54.6,-0.7588182957954522,full
970,29,0.95,0.02,-1.0613786718143297,learn_only
971,29,0.95,0.14,-1.0387087595716458,learn_only
972,29,0.95,1.0,-1.0223500772368563,learn_only
973,29,0.95,7.39,-1.1234008837507456,learn_only
974,29,0.95,54.6,-1.357919600629399,learn_only
975,29,0.7,1.0,-1.078214343352559,plan_only
976,29,0.7725,1.0,-0.9212097205610634,plan_only
977,29,0.845,1.0,-0.7654443625701228,plan_only
978,29,0.9175,1.0,-0.6297445390394382,plan_only
979,29,0.99,1.0,-0.7569434363296941,plan_only
980,30,0.7,0.02,-0.730530475454643,full
981,30,0.7,0.14,-0.7362226768944309,full
982,30,0.7,1.0,-0.7816098226715786,full
983,30,0.7,7.39,-0.9025414515029002,full
984,30,0.7,54.6,-1.006520084987185,full
985,30,0.7725,0.02,-0.5923184018163857,full
986,30,0.7725,0.14,-0.5856390747726794,full
987,30,0.7725,1.0,-0.6039990164292467,full
988,30,0.7725,7.39,-0.716739097305837,full
989,30,0.7725,54.6,-0.8449988261542666,full
990,30,0.845,0.02,-0.5027037208946712,full
991,30,0.845,0.14,-0.488817730720921,full
992,30,0.845,1.0,-0.4850691048124566,full
993,30,0.845,7.39,-0.5650207783943685,full
994,30,0.845,54.6,-0.6911906998197748,full
995,30,0.9175,0.02,-0.4410544742528697,full
996,30,0.9175,0.14,-0.43034485366217823,full
997,30,0.9175,1.0,-0.4296697196995066,full
998,30,0.9175,7.39,-0.4852627586749752,full
999,30,0.9175,54.6,-0.5788101681298333,full
1000,30,0.99,0.02,-0.5524196880466462,full
1001,30,0.99,0.14,-0.5971102499181006,full
1002,30,0.99,1.0,-0.6663995902365916,full
1003,30,0.99,7.39,-0.7463339752640473,full
1004,30,0.99,54.6,-0.8045831931808536,full
1005,30,0.95,0.02,-0.8569106228283655,learn_only
1006,30,0.95,0.14,-0.835224853371264,learn_only
1007,30,0.95,1.0,-0.8466372032163012,learn_only
1008,30,0.95,7.39,-1.0024584475953968,learn_only
1009,30,0.95,54.6,-1.2781749753799634,learn_only
1010,30,0.7,1.0,-1.044573202720556,plan_only
1011,30,0.7725,1.0,-0.8985681693675766,plan_only
1012,30,0.845,1.0,-0.756646487649226,plan_only
1013,30,0.9175,1.0,-0.6415493586394916,plan_only
1014,30,0.99,1.0,-0.8250933325838778,plan_only
