,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_ll,plan_rho,learn_rho,plan_alpha
1587,87,87,9,1335,2,2,2,0,True,0,0,23,test,0.8324111288208642,0.4444319818329851,-0.1834288149930864,2.87,0.8678947368421053,0.551567383661753,-0.5949912652286791,0.81,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1588,88,88,21,1356,3,2,2,1,False,0,0,23,train,0.5699985607706716,0.44828363635734925,-0.8439667232551804,2.87,0.8678947368421053,0.19172763066008552,-0.21285618649614874,0.81,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1589,89,89,16,1372,4,5,2,3,False,0,0,23,train,0.24724579383906542,0.4463228345332505,-0.28401652390965526,2.87,0.8678947368421053,0.02536883442564852,-0.02569617127326615,0.81,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1590,90,90,13,1385,2,2,2,0,True,0,0,23,train,0.8329092760556603,0.4453185837393056,-0.18283055504479623,2.87,0.8678947368421053,0.5495512676362282,-0.5986532107894619,0.81,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1591,91,91,12,1397,1,1,2,2,True,0,0,23,train,0.4505976670298942,0.4490524696354376,-0.7971804284721095,2.87,0.8678947368421053,0.12943280858360515,-2.044593385129405,0.81,0.6334270738007383,-0.4566104021839778,0.9289473684210526,0.95,1.0
1592,92,92,10,1407,2,2,2,0,True,0,0,23,test,0.8340665914752454,0.44736916823858497,-0.18144203391732433,2.87,0.8678947368421053,0.5498319784437113,-0.598142541167045,0.81,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1593,93,93,13,1420,2,2,2,0,True,0,0,23,train,0.8360906573476964,0.45102275077526166,-0.17901822997335817,2.87,0.8678947368421053,0.5539227518393752,-0.5907300390701524,0.81,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1594,94,94,23,1443,3,3,2,1,True,0,0,23,train,0.568999936172558,0.45462613935049706,-0.5638749570305788,2.87,0.8678947368421053,0.1910013183148546,-1.6554749487873135,0.81,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1595,95,95,13,1456,2,2,2,0,True,0,0,23,test,0.837027679643031,0.4527417919397306,-0.17789813897610576,2.87,0.8678947368421053,0.5537709283381768,-0.5910041644982669,0.81,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1596,96,96,19,1475,2,2,2,0,True,0,0,23,train,0.8389504497237973,0.45626964172989676,-0.17560363299103168,2.87,0.8678947368421053,0.5577031402930972,-0.5839284648097668,0.81,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1597,97,97,11,1486,2,1,2,0,False,0,0,23,train,0.8408270551873378,0.4597500463884675,-1.8377639646581634,2.87,0.8678947368421053,0.5615628178790412,-0.824538733712656,0.81,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1598,98,98,14,1500,2,2,2,0,True,0,0,23,train,0.8426590953804017,0.46318386766701664,-0.17119279733636122,2.87,0.8678947368421053,0.5653519296151595,-0.5703068574729685,0.81,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1599,99,99,21,1521,3,2,2,1,False,0,0,23,train,0.5677166032916647,0.46657195174692573,-0.8386738949201937,2.87,0.8678947368421053,0.1905025692834798,-0.21134167978360377,0.81,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1600,0,0,21,21,2,3,2,0,False,0,0,24,train,0.5857524368932039,0.12499999999999999,-0.8812915053559032,35.84,0.9136842105263158,0.12499999999999999,-0.13353139262452263,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1601,1,1,14,35,1,1,2,2,True,0,0,24,train,0.5857310820449932,0.12775583673408583,-0.5348944990940352,35.84,0.9136842105263158,0.12342427309234584,-2.09212748432309,2.87,0.6334270738007383,-0.4566104021839778,0.9289473684210526,0.95,1.0
1602,2,2,10,45,5,1,2,3,False,0,0,24,train,0.5817561121418608,0.12773019540730668,-0.8716905528307363,35.84,0.9136842105263158,0.10268232955460853,-0.10834533196509424,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1603,3,3,23,68,2,3,2,0,False,0,0,24,train,0.5897438441518503,0.12681354265963127,-0.8909735440101927,35.84,0.9136842105263158,0.15089099164671585,-0.1635677047370379,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1604,4,4,9,77,2,3,2,0,False,0,0,24,test,0.5955627418761353,0.12952966142159136,-0.9052586642204894,35.84,0.9136842105263158,0.18657705139814626,-0.20650407272547064,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1605,5,5,24,101,2,2,2,0,True,0,0,24,train,0.601282682263901,0.1322607318283421,-0.5086901018437876,35.84,0.9136842105263158,0.2219281641140527,-1.5054015345466383,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1606,6,6,10,111,0,0,2,2,True,0,0,24,train,0.5854232129823398,0.13500578550622586,-0.535420252312125,35.84,0.9136842105263158,0.11173991427733578,-2.1915813021132706,2.87,0.6334270738007383,-0.4566104021839778,0.9289473684210526,0.95,1.0
